Effective_Signal,Noise,Raw_Signal,Exposure_Time,Subframe_Index,Saturated
1.1957092,13.169619685052872,274.57153,0.00064,8,False
1.2516174,13.267817121636222,274.56918,0.000672,0,False
1.2458801,13.099831247414594,274.40793,0.000672,1,False
1.2710876,13.174158057700526,274.5285,0.000672,2,False
1.216217,13.280637855778448,274.3848,0.000672,3,False
1.2288513,13.110077314874985,274.25803,0.000672,4,False
1.2138062,13.29231354434033,274.509,0.000672,5,False
1.2232056,13.095608470368589,274.35135,0.000672,6,False
1.2299194,13.157682348855435,274.18192,0.000672,7,False
1.224762,13.1653874671128,274.6006,0.000672,8,False
1.3240356,13.295701476611029,274.6416,0.000704,0,False
1.4036865,13.132851448761544,274.56573,0.000704,1,False
1.4087219,13.192322337884356,274.66614,0.000704,2,False
1.3296814,13.115594843107244,274.49826,0.000704,3,False
1.3971558,13.288382086311232,274.42633,0.000704,4,False
1.3625488,13.291257512904041,274.65775,0.000704,5,False
1.361206,13.147499670255202,274.48935,0.000704,6,False
1.3460693,13.185952431787813,274.29807,0.000704,7,False
1.3764648,13.116931403967222,274.7523,0.000704,8,False
1.339325,13.182560453419656,274.6569,0.000736,0,False
1.342804,13.141217429603563,274.50485,0.000736,1,False
1.3453064,13.327529427907304,274.60272,0.000736,2,False
1.4457092,13.207139146772057,274.6143,0.000736,3,False
1.4431152,13.155455646554907,274.4723,0.000736,4,False
1.4317017,13.314838168883703,274.7269,0.000736,5,False
1.4555359,13.193486265252833,274.58368,0.000736,6,False
1.4598694,13.120245157784542,274.41187,0.000736,7,False
1.4681396,13.279483369304037,274.84396,0.000736,8,False
1.3951111,13.333598574092873,274.71268,0.000768,0,False
1.4868164,13.32271457193342,274.64886,0.000768,1,False
1.501648,13.148333166331353,274.75906,0.000768,2,False
1.510315,13.21412945447868,274.6789,0.000768,3,False
1.40271,13.156132693529386,274.4319,0.000768,4,False
1.429596,13.235252780602764,274.7248,0.000768,5,False
1.4187317,13.328054071877567,274.54688,0.000768,6,False
1.4194946,13.145197440802143,274.3715,0.000768,7,False
1.4194336,13.189784086079635,274.79526,0.000768,8,False
1.5065613,13.343299767095717,274.82413,0.0008,0,False
1.5085754,13.178004547683022,274.67062,0.0008,1,False
1.5236816,13.253106859981555,274.7811,0.0008,2,False
1.5206909,13.337462597164352,274.68927,0.0008,3,False
1.5273438,13.180658787614846,274.55652,0.0008,4,False
1.5467224,13.240856625580772,274.84192,0.0008,5,False
1.5317383,13.345587160858098,274.65988,0.0008,6,False
1.5548096,13.158283868677382,274.5068,0.0008,7,False
1.5586548,13.191550881969212,274.93448,0.0008,8,False
1.5828247,13.184458073127011,274.9004,0.000832,0,False
1.6172485,13.24193963100011,274.7793,0.000832,1,False
1.5527039,13.343225588642337,274.81012,0.000832,2,False
1.5987549,13.332390139652368,274.76733,0.000832,3,False
1.5673523,13.1766126901578,274.59653,0.000832,4,False
1.5775757,13.365851365622138,274.87277,0.000832,5,False
1.6053467,13.216465401410549,274.7335,0.000832,6,False
1.5691833,13.237406653149066,274.52118,0.000832,7,False
1.5958252,13.18384846111015,274.97165,0.000832,8,False
1.6271057,13.224774736888168,274.94467,0.000864,0,False
1.6210022,13.191186733198078,274.78305,0.000864,1,False
1.6049194,13.381838845374078,274.86234,0.000864,2,False
1.6882629,13.254698324981327,274.85684,0.000864,3,False
1.6661377,13.357908876313957,274.6953,0.000864,4,False
1.7642822,13.246913633473971,275.05948,0.000864,5,False
1.7402954,13.175647021564718,274.86844,0.000864,6,False
1.7409973,13.350017637573565,274.693,0.000864,7,False
1.6831665,13.193540213218927,275.059,0.000864,8,False
1.727478,13.369018111231851,275.04504,0.000896,0,False
1.7063904,13.365858109117898,274.86844,0.000896,1,False
1.7138977,13.210185858157214,274.9713,0.000896,2,False
1.750946,13.271250909678102,274.91953,0.000896,3,False
1.7099915,13.202472647704932,274.73917,0.000896,4,False
1.6425781,13.389233762826406,274.93777,0.000896,5,False
1.6647034,13.20480319984019,274.79285,0.000896,6,False
1.664978,13.250035872011658,274.61697,0.000896,7,False
1.7351074,13.266341644763552,275.11093,0.000896,8,False
1.8926392,13.401339686417886,275.2102,0.000928,0,False
1.882721,13.222871722384204,275.04477,0.000928,1,False
1.9195251,13.296429774153298,275.17694,0.000928,2,False
1.7721863,13.39421450879603,274.94077,0.000928,3,False
1.7932129,13.22381716049,274.8224,0.000928,4,False
1.7421875,13.402233873955893,275.03738,0.000928,5,False
1.7548218,13.231995672149843,274.88297,0.000928,6,False
1.7483826,13.268859666080987,274.70038,0.000928,7,False
1.8109436,13.278602668757554,275.18677,0.000928,8,False
1.980011,13.287463622188485,275.29758,0.00096,0,False
1.9431152,13.40762462446783,275.10516,0.00096,1,False
1.9466248,13.22119259193953,275.20404,0.00096,2,False
1.9324646,13.401784757138161,275.10104,0.00096,3,False
1.8630371,13.218349534126379,274.8922,0.00096,4,False
1.9656982,13.295077028903492,275.2609,0.00096,5,False
1.8536987,13.412425993450192,274.98184,0.00096,6,False
1.9445801,13.227311639993736,274.89658,0.00096,7,False
1.8758545,13.267981662932808,275.25168,0.00096,8,False
1.9594727,13.241286860610373,275.27704,0.000992,0,False
1.9648132,13.303530675190412,275.12686,0.000992,1,False
1.9198914,13.40570542557404,275.1773,0.000992,2,False
1.9249573,13.240408857462192,275.09354,0.000992,3,False
1.9585266,13.403486815468424,274.9877,0.000992,4,False
1.963501,13.418303624356128,275.2587,0.000992,5,False
1.9723511,13.214299390571876,275.1005,0.000992,6,False
1.984375,13.254957275218578,274.93637,0.000992,7,False
1.9620972,13.300718637457766,275.33792,0.000992,8,False
2.0743713,13.405125484938528,275.39194,0.001024,0,False
2.0609436,13.245096935715758,275.223,0.001024,1,False
2.0915833,13.336568409626345,275.349,0.001024,2,False
2.0452576,13.428841010833427,275.21384,0.001024,3,False
2.0607605,13.265848020873792,275.08994,0.001024,4,False
2.0376282,13.46419446171394,275.33282,0.001024,5,False
2.0437927,13.251488420998736,275.17194,0.001024,6,False
2.0620728,13.298972072055474,275.01407,0.001024,7,False
2.082306,13.322725361526638,275.45813,0.001024,8,False
2.0192566,13.444494013195584,275.33682,0.001056,0,False
2.0653381,13.25563567089221,275.2274,0.001056,1,False
2.0709229,13.334534571304603,275.32834,0.001056,2,False
2.034668,13.263006311759794,275.20325,0.001056,3,False
2.0567322,13.441451347907886,275.0859,0.001056,4,False
2.072937,13.462585463625189,275.36813,0.001056,5,False
2.0857544,13.315512518459878,275.2139,0.001056,6,False
2.0641174,13.325931219411771,275.0161,0.001056,7,False
2.0856628,13.268112486750585,275.4615,0.001056,8,False
2.1734314,13.315786304387805,275.491,0.001088,0,False
2.17099,13.2655081486874,275.33304,0.001088,1,False
2.1669312,13.474654972339556,275.42435,0.001088,2,False
2.211792,13.343611316599908,275.38037,0.001088,3,False
2.169464,13.445521721949675,275.19864,0.001088,4,False
