subframe_index,exposure_time,raw_signal,noise_total,noise_temporal,effective_signal,shot_noise_var,fpn_var,fpn
7,3.2e-05,272.74146,12.8050585,12.781191631778167,-0.036224365,0.18549377239193632,0.6106686700059356,0.7814529224501855
8,3.2e-05,273.1448,12.858407,12.832119860470003,-0.03744507,0.0,0.675338192195369,0.8217896277000392
0,3.2e-05,272.84555,12.738358,12.72762669624349,0.009674072,0.0,0.2732657513825245,0.5227482676992096
1,3.2e-05,272.866,12.749374,12.732020758081841,0.027435303,0.0,0.4422019812027713,0.664982692408435
2,3.2e-05,273.03354,12.825813,12.817862761730526,0.03060913,0.0,0.20387432398095484,0.4515244444999128
3,3.2e-05,272.7474,12.775059,12.763653148001026,-0.005493164,0.0,0.29129149623443595,0.539714272772581
6,3.2e-05,272.71295,12.808053,12.781071597553609,-0.027954102,0.0,0.6904276902787387,0.8309197857066221
5,3.2e-05,273.1536,12.874855,12.848278625014292,0.03765869,0.0,0.6836229706805454,0.8268149555254461
6,3.2e-05,272.7843,12.800284,12.789511756849006,0.043395996,0.0,0.2756638016944919,0.5250369526942764
7,3.2e-05,272.8211,12.791409,12.78306497490078,0.043426514,0.23338439669075228,0.21338229375399465,0.4619332135211698
0,3.2e-05,272.84882,12.792923,12.754798938065857,0.012939453,0.1948092216706243,0.9739785612328262,0.9869035217450722
1,3.2e-05,272.83823,12.76803,12.74917890869802,-0.00033569336,0.26378502910486645,0.48103542061110716,0.6935671709438871
2,3.2e-05,273.0032,12.863374,12.847484241213559,0.0002746582,0.1566216372265501,0.4085335594645869,0.6391663003198674
3,3.2e-05,272.81046,12.804861,12.785550627438559,0.057556152,0.0,0.49415743347890384,0.7029633229969426
4,3.2e-05,272.81628,12.789736,12.774665276579952,0.036224365,0.04762805099838374,0.3852738731002603,0.6207043362989019
5,3.2e-05,273.1527,12.87962,12.861102056554822,0.03677368,0.2696395002347174,0.4766516692016296,0.6903996445549705
8,3.2e-05,273.243,12.871753,12.83458123642304,0.060760498,0.03660832591938856,0.9555465803842083,0.9775206291348578
6,3.2e-05,272.76846,12.824759,12.800294606572033,0.027557373,0.20173300300572805,0.626884254494172,0.7917602253802423
8,3.2e-05,273.20377,12.866577,12.851278131929115,0.021514893,0.46548243577652215,0.39346324201144967,0.6272664840492035
0,3.2e-05,272.88928,12.77735,12.753977580282077,0.05340576,0.17385738952256702,0.5967370340058835,0.7724875623632289
1,3.2e-05,272.86856,12.7794075,12.750007009977564,0.02999878,0.28490093759143065,0.7505841849761055,0.8663626174853722
2,3.2e-05,273.02853,12.875277,12.849135048976034,0.025604248,0.19904181582018055,0.6724793476678315,0.820048381297001
3,3.2e-05,272.72382,12.81635,12.787558840476406,-0.029083252,0.0,0.7371584814318624,0.8585793390432024
4,3.2e-05,272.74725,12.808301,12.78381080553203,-0.032806396,0.2813738339783072,0.6267478166828369,0.7916740596248161
7,3.2e-05,272.79642,12.797031,12.782609114587286,0.018737793,0.22173002048563717,0.36891179202942226,0.6073810929140141
7,3.2e-05,272.8345,12.809628,12.776081410689919,0.05682373,0.05489045673218129,0.8583068977750656,0.9264485402735899
