Effective_Signal,Noise,Raw_Signal,Exposure_Time,Subframe_Index
1.1795044,13.115642047577575,274.20868,0.00064,4
1.1701355,13.286483117904726,274.46533,0.00064,5
1.2102966,13.169081554091084,274.33844,0.00064,6
1.2115479,13.102148312558327,274.16354,0.00064,7
1.2011108,13.256455679976836,274.57693,0.00064,8
1.2299194,13.157682348855435,274.5475,0.000672,0
1.2232056,13.095608470368589,274.38525,0.000672,1
1.2138062,13.29231354434033,274.47122,0.000672,2
1.224762,13.1653874671128,274.39334,0.000672,3
1.2288513,13.110077314874985,274.25803,0.000672,4
1.216217,13.280637855778448,274.5114,0.000672,5
1.2710876,13.174158057700526,274.39923,0.000672,6
1.2458801,13.099831247414594,274.19788,0.000672,7
1.2516174,13.267817121636222,274.62744,0.000672,8
1.361206,13.147499670255202,274.67877,0.000704,0
1.3764648,13.116931403967222,274.5385,0.000704,1
1.3625488,13.291257512904041,274.61996,0.000704,2
1.3460693,13.185952431787813,274.51465,0.000704,3
1.3296814,13.115594843107244,274.35886,0.000704,4
1.3240356,13.295701476611029,274.61923,0.000704,5
1.4087219,13.192322337884356,274.53687,0.000704,6
1.4036865,13.132851448761544,274.35568,0.000704,7
1.3971558,13.288382086311232,274.77298,0.000704,8
1.339325,13.182560453419656,274.6569,0.000736,0
1.342804,13.141217429603563,274.50485,0.000736,1
1.3453064,13.327529427907304,274.60272,0.000736,2
1.4457092,13.207139146772057,274.6143,0.000736,3
1.4431152,13.155455646554907,274.4723,0.000736,4
1.4317017,13.314838168883703,274.7269,0.000736,5
1.4555359,13.193486265252833,274.58368,0.000736,6
1.4598694,13.120245157784542,274.41187,0.000736,7
1.4681396,13.279483369304037,274.84396,0.000736,8
1.4194336,13.189784086079635,274.737,0.000768,0
1.4194946,13.145197440802143,274.58154,0.000768,1
1.4187317,13.328054071877567,274.67615,0.000768,2
1.429596,13.235252780602764,274.59818,0.000768,3
1.40271,13.156132693529386,274.4319,0.000768,4
1.3951111,13.333598574092873,274.6903,0.000768,5
1.510315,13.21412945447868,274.63846,0.000768,6
1.501648,13.148333166331353,274.45364,0.000768,7
1.4868164,13.32271457193342,274.86264,0.000768,8
1.5586548,13.191550881969212,274.87622,0.0008,0
1.5548096,13.158283868677382,274.71686,0.0008,1
1.5317383,13.345587160858098,274.78915,0.0008,2
1.5467224,13.240856625580772,274.7153,0.0008,3
1.5273438,13.180658787614846,274.55652,0.0008,4
1.5206909,13.337462597164352,274.8159,0.0008,5
1.5236816,13.253106859981555,274.65182,0.0008,6
1.5085754,13.178004547683022,274.46057,0.0008,7
1.5065613,13.343299767095717,274.8824,0.0008,8
1.6053467,13.216465401410549,274.9229,0.000832,0
1.5958252,13.18384846111015,274.75787,0.000832,1
1.5775757,13.365851365622138,274.835,0.000832,2
1.5691833,13.237406653149066,274.73776,0.000832,3
1.5673523,13.1766126901578,274.59653,0.000832,4
1.5527039,13.343225588642337,274.8479,0.000832,5
1.6172485,13.24193963100011,274.7454,0.000832,6
1.5828247,13.184458073127011,274.53482,0.000832,7
1.5987549,13.332390139652368,274.97458,0.000832,8
1.6271057,13.224774736888168,274.94467,0.000864,0
1.6210022,13.191186733198078,274.78305,0.000864,1
1.6049194,13.381838845374078,274.86234,0.000864,2
1.6882629,13.254698324981327,274.85684,0.000864,3
1.6831665,13.193540213218927,274.71234,0.000864,4
1.6661377,13.357908876313957,274.96133,0.000864,5
1.7642822,13.246913633473971,274.89243,0.000864,6
1.7402954,13.175647021564718,274.6923,0.000864,7
1.7409973,13.350017637573565,275.11682,0.000864,8
1.664978,13.250035872011658,274.98254,0.000896,0
1.6647034,13.20480319984019,274.82675,0.000896,1
1.6425781,13.389233762826406,274.9,0.000896,2
1.7351074,13.266341644763552,274.9037,0.000896,3
1.7099915,13.202472647704932,274.73917,0.000896,4
1.7063904,13.365858109117898,275.0016,0.000896,5
1.750946,13.271250909678102,274.8791,0.000896,6
1.7138977,13.210185858157214,274.6659,0.000896,7
1.727478,13.369018111231851,275.1033,0.000896,8
1.7483826,13.268859666080987,275.06595,0.000928,0
1.7548218,13.231995672149843,274.91687,0.000928,1
1.7421875,13.402233873955893,274.9996,0.000928,2
1.8109436,13.278602668757554,274.97952,0.000928,3
1.7932129,13.22381716049,274.8224,0.000928,4
1.7721863,13.39421450879603,275.06738,0.000928,5
1.9195251,13.296429774153298,275.04767,0.000928,6
1.882721,13.222871722384204,274.83472,0.000928,7
1.8926392,13.401339686417886,275.26846,0.000928,8
1.8758545,13.267981662932808,275.19342,0.00096,0
1.8630371,13.218349534126379,275.0251,0.00096,1
1.8536987,13.412425993450192,275.1111,0.00096,2
1.9656982,13.295077028903492,275.13428,0.00096,3
1.9445801,13.227311639993736,274.97375,0.00096,4
1.9324646,13.401784757138161,275.22766,0.00096,5
1.980011,13.287463622188485,275.10815,0.00096,6
1.9466248,13.22119259193953,274.89862,0.00096,7
1.9431152,13.40762462446783,275.31894,0.00096,8
